signal_date,rank,stock_id,score,weight
2026-07-31,1,002202,0.7889157,0.2
2026-07-31,2,688256,0.6903510,0.2
2026-07-31,3,300274,0.6813764,0.2
2026-07-31,4,002600,0.6293241,0.2
2026-07-31,5,688183,0.6049778,0.2

