fold,start_date,end_date,n_signal_days,top5_return_mean,top5_return_std,top5_sharpe_annualized_5d,top5_positive_ratio,market_return_mean,alpha_return_mean,alpha_information_ratio_annualized_5d,top5_beats_market_ratio,rank_ic_mean,rank_icir
0,2025-07-29,2025-08-25,20,0.06441921501799999,0.059586050404819055,7.675136304996268,0.85,0.016472997993430376,0.04794621702456962,6.780240013034082,0.8,0.050785753106768625,0.31673422337197493
1,2025-08-26,2025-09-22,20,0.04402752922000001,0.06452199663179663,4.844308405482463,0.8,0.0020026354253521563,0.04202489379464784,4.894585505354368,0.75,0.09156881012257127,0.49597576241982927
2,2025-09-23,2025-10-28,20,0.016091389424200003,0.06316370980927642,1.8085944085667662,0.6,0.007389910130076835,0.008701479294123172,1.1397024406893936,0.5,-0.049677860974179075,-0.18043011462716319
3,2025-10-29,2025-11-25,20,-0.008436442563300001,0.0658053800595271,-0.9101505179948155,0.35,-0.006786729920498835,-0.0016497126428011663,-0.22362587298780096,0.4,-0.0715238074342516,-0.3556623568155182
4,2025-11-26,2025-12-23,20,0.0033576611849999993,0.02569234475133299,0.9277872446754951,0.6,0.00328799819311576,6.966299188424039e-05,0.025647308372459123,0.55,0.0312680818380964,0.22409088721343354
5,2025-12-24,2026-01-22,20,0.021059947765000003,0.03550636921249456,4.21081627783469,0.75,0.008569471210070663,0.012490476554929335,2.6092511428242267,0.7,0.13585410469142922,1.4208123443050382
6,2026-01-23,2026-02-27,20,0.011092616399,0.04883512003850859,1.6125641604170569,0.6,-0.0011854209882067445,0.012278037387206744,1.8788464633414568,0.55,0.004115735933746129,0.026855922635286262
7,2026-03-02,2026-03-27,20,0.004170837784,0.043173106006750714,0.6858438887019745,0.55,-0.00900997416965076,0.01318081195365076,2.521060032122048,0.65,-0.047442103550160465,-0.2898609793720104
8,2026-03-30,2026-04-27,20,0.0292995624466,0.030842576253199156,6.744127246219209,0.75,0.00831925615833718,0.02098030628826282,6.551451819086734,0.8,0.14993492163596053,1.0484954943816593
9,2026-04-28,2026-05-28,20,0.04824194450011001,0.05604592617779995,6.110771191092867,0.65,-0.004558509686667336,0.05280045418677733,7.9462566600959,0.85,0.013557245741602506,0.06666804178976778
10,2026-05-29,2026-06-26,20,0.02475934841200001,0.07879275952939106,2.230838693166682,0.55,-0.005088546395692332,0.029847894807692333,2.826179312513351,0.65,0.06832656049115828,0.30742121264534333
11,2026-06-29,2026-07-24,20,-0.059372472132,0.05810879383847111,-7.253682456996163,0.1,-0.0024619702182420516,-0.05691050191375796,-7.383228008032927,0.2,-0.2933203115713026,-1.6094725018324925
